run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_random-MLP-Adult-sex-d5000000-2,Adult,MLP,sex,regionft_random,2,79292,5000000,1,2743,54967,76606,79023,11.479,11.4674,11.4577,11.4694,11.4684,11.4659,11.4675,11.4667,122.01,122.0,28.47,28.47,93.54,93.53,1024
regionft_random-MLP-Adult-sex-d5000000-3,Adult,MLP,sex,regionft_random,3,74858,5000000,1,2761,54001,72832,74652,11.4815,11.4716,11.4742,11.4707,11.4752,11.4731,11.4744,11.4726,124.36,124.36,30.66,30.65,93.71,93.71,1024
regionft_random-MLP-Adult-sex-d5000000-4,Adult,MLP,sex,regionft_random,4,71962,5000000,1,2780,51387,69771,71732,11.4588,11.4708,11.469,11.4671,11.466,11.4653,11.4655,11.4665,124.97,124.97,30.4,30.39,94.58,94.58,1024
regionft_d10-MLP-Adult-race-d5000000-0,Adult,MLP,race,regionft_d10,0,460268,5000000,1,3043,132492,380909,447073,11.4563,11.46,11.4692,11.4714,11.4661,11.4681,11.4684,11.4678,332.86,332.85,141.09,141.09,191.77,191.76,1020
regionft_d10-MLP-Adult-race-d5000000-1,Adult,MLP,race,regionft_d10,1,468059,5000000,1,3051,133318,387968,453959,11.4676,11.4594,11.4675,11.4678,11.471,11.4678,11.4703,11.4682,324.22,324.21,134.85,134.85,189.36,189.36,1009
regionft_d10-MLP-Adult-race-d5000000-2,Adult,MLP,race,regionft_d10,2,453815,5000000,1,3044,131863,377298,440687,11.4785,11.4814,11.4764,11.4717,11.4714,11.4717,11.47,11.4704,316.74,316.74,131.18,131.17,185.56,185.56,984
regionft_d10-MLP-Adult-race-d5000000-3,Adult,MLP,race,regionft_d10,3,456347,5000000,1,3051,132343,378370,442826,11.4429,11.4672,11.47,11.468,11.4682,11.4703,11.467,11.4681,317.36,317.36,133.14,133.14,184.22,184.22,1002
regionft_d10-MLP-Adult-race-d5000000-4,Adult,MLP,race,regionft_d10,4,458408,5000000,1,3036,131351,376387,444117,11.4576,11.4665,11.4718,11.4683,11.4673,11.466,11.4645,11.4656,318.55,318.55,134.5,134.5,184.05,184.05,1005
regionft_random-MLP-Adult-race-d5000000-0,Adult,MLP,race,regionft_random,0,165424,5000000,1,2998,91004,154646,163952,11.4691,11.478,11.4632,11.465,11.4632,11.4632,11.4653,11.464,232.18,232.18,48.49,48.49,183.69,183.69,1024
regionft_random-MLP-Adult-race-d5000000-1,Adult,MLP,race,regionft_random,1,170484,5000000,1,3006,91589,159245,169001,11.4382,11.4874,11.4711,11.4627,11.4664,11.4668,11.4675,11.4651,232.37,232.36,48.95,48.95,183.41,183.41,1024
regionft_random-MLP-Adult-race-d5000000-2,Adult,MLP,race,regionft_random,2,168955,5000000,1,3005,90955,157042,167419,11.4878,11.4837,11.4714,11.4779,11.4761,11.4762,11.4751,11.4758,223.86,223.85,47.28,47.28,176.57,176.57,1024
regionft_random-MLP-Adult-race-d5000000-3,Adult,MLP,race,regionft_random,3,177620,5000000,1,2999,93122,165207,176027,11.4558,11.4738,11.4775,11.4862,11.4759,11.4778,11.4785,11.4776,210.02,210.02,45.13,45.13,164.9,164.9,1024
regionft_random-MLP-Adult-race-d5000000-4,Adult,MLP,race,regionft_random,4,168626,5000000,1,2981,90692,157527,167093,11.4838,11.4589,11.4634,11.4668,11.4681,11.4686,11.4698,11.4699,204.12,204.12,43.34,43.34,160.78,160.78,1024
regionft_d10-LogReg-Adult-sex-d5000000-0,Adult,LogReg,sex,regionft_d10,0,328989,5000000,1,2040,129099,305251,326829,11.4612,11.462,11.4472,11.4525,11.4507,11.4508,11.4507,11.4508,132.86,132.86,64.48,64.47,68.39,68.39,716
regionft_d10-LogReg-Adult-sex-d5000000-1,Adult,LogReg,sex,regionft_d10,1,306012,5000000,1,2038,116982,282588,303696,11.4402,11.4544,11.4471,11.4474,11.4476,11.4473,11.4469,11.4467,111.86,111.85,44.52,44.51,67.34,67.34,504
regionft_d10-LogReg-Adult-sex-d5000000-2,Adult,LogReg,sex,regionft_d10,2,288668,5000000,1,2037,122118,270246,287033,11.4642,11.4596,11.4484,11.4479,11.4499,11.449,11.4493,11.4496,147.94,147.93,80.16,80.16,67.77,67.77,876
regionft_d10-LogReg-Adult-sex-d5000000-3,Adult,LogReg,sex,regionft_d10,3,350265,5000000,1,2042,123624,321316,347460,11.4392,11.435,11.4377,11.4398,11.4391,11.4403,11.4387,11.44,135.14,135.14,66.91,66.91,68.23,68.23,767
regionft_d10-LogReg-Adult-sex-d5000000-4,Adult,LogReg,sex,regionft_d10,4,306202,5000000,1,2035,123830,285296,304314,11.4268,11.4445,11.4435,11.4439,11.447,11.4457,11.4467,11.446,134.11,134.1,65.86,65.85,68.25,68.25,727
