run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
sg-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,sg,3,139,5628,1,10,30,49,74,5.6536,5.7684,5.7382,5.7382,5.7382,5.7382,5.7382,5.7382,1200.15,1200.15,,,,,
sg-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,sg,4,134,5599,1,11,24,38,69,6.2271,6.2687,6.3351,6.3351,6.3351,6.3351,6.3351,6.3351,1200.08,1200.08,,,,,
regionft-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,regionft,0,4705554,87973755,1,2048,166307,2232203,4287330,11.4162,11.4588,11.449,11.4482,11.4501,11.4517,11.4515,11.4517,1204.38,1204.38,46.8,46.8,1157.58,1157.58,491
regionft-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,regionft,1,6104258,84923675,1,2048,167440,2492410,5428415,11.4588,11.453,11.4521,11.4536,11.4533,11.4525,11.453,11.4525,1200.07,1200.0,67.89,67.89,1132.17,1132.11,843
regionft-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,regionft,2,5863230,84380736,1,2048,166567,2450394,5237075,11.4764,11.4512,11.4511,11.4526,11.4553,11.454,11.4546,11.4532,1200.0,1200.0,91.67,91.67,1108.33,1108.33,982
regionft-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,regionft,3,5428626,84670321,1,2048,166543,2372014,4890972,11.4909,11.46,11.452,11.4491,11.4526,11.4529,11.4533,11.4531,1200.05,1200.0,78.9,78.9,1121.15,1121.1,899
regionft-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,regionft,4,5711783,85532787,1,2047,167486,2411659,5121409,11.4495,11.4296,11.4475,11.4467,11.4441,11.4455,11.4471,11.4463,1200.01,1200.0,71.62,71.62,1128.39,1128.39,760
aft-LogReg-Adult-race-1200-0,Adult,LogReg,race,aft,0,235888,1812132,1,2034,87393,214168,232902,11.28,11.2851,11.2952,11.279,11.291,11.2864,11.2915,11.2891,1200.37,1200.34,,,,,
aft-LogReg-Adult-race-1200-1,Adult,LogReg,race,aft,1,241716,1859416,1,2037,88218,217719,238360,11.3133,11.319,11.3179,11.3039,11.2988,11.3048,11.3028,11.3051,1200.13,1200.1,,,,,
aft-LogReg-Adult-race-1200-2,Adult,LogReg,race,aft,2,229626,1794679,1,2037,87356,208385,226630,11.296,11.2921,11.3067,11.3011,11.3012,11.305,11.3039,11.3011,1200.05,1200.03,,,,,
aft-LogReg-Adult-race-1200-3,Adult,LogReg,race,aft,3,237572,1857075,1,2032,87422,214757,234445,11.3047,11.2861,11.3023,11.2963,11.3059,11.3047,11.3056,11.3036,1200.26,1200.23,,,,,
aft-LogReg-Adult-race-1200-4,Adult,LogReg,race,aft,4,237351,1833651,1,2038,88919,215192,234319,11.2771,11.3176,11.2872,11.2882,11.3013,11.3008,11.2959,11.2981,1200.04,1200.01,,,,,
expga-LogReg-Adult-race-1200-0,Adult,LogReg,race,expga,0,174666,1129846,1,1017,28518,59273,80076,10.7257,10.7282,10.7413,10.7385,10.7437,10.7399,10.7426,10.7402,1200.09,1200.0,,,,,
expga-LogReg-Adult-race-1200-1,Adult,LogReg,race,expga,1,194091,1134579,1,1019,27873,61197,85661,10.7349,10.7339,10.7422,10.7216,10.7277,10.7297,10.7298,10.7291,1200.08,1200.01,,,,,
expga-LogReg-Adult-race-1200-2,Adult,LogReg,race,expga,2,200532,1143898,1,1010,28653,61620,86434,10.7416,10.7523,10.7276,10.723,10.7185,10.7207,10.7214,10.7201,1200.08,1200.01,,,,,
expga-LogReg-Adult-race-1200-3,Adult,LogReg,race,expga,3,197570,1137592,1,1014,27930,61358,87204,10.7063,10.7055,10.6976,10.6959,10.6989,10.7054,10.6968,10.6993,1200.07,1200.0,,,,,
expga-LogReg-Adult-race-1200-4,Adult,LogReg,race,expga,4,163665,1136943,1,1008,27547,56447,76688,10.7345,10.7543,10.7466,10.7381,10.7456,10.7405,10.7422,10.74,1200.1,1200.01,,,,,
grft-LogReg-Adult-race-1200-0,Adult,LogReg,race,grft,0,6930113,27580960,1,597,7360,39076,110718,9.4062,9.3334,9.3393,9.2744,9.2716,9.2651,9.2597,9.2827,1226.48,1225.95,,,,,
grft-LogReg-Adult-race-1200-1,Adult,LogReg,race,grft,1,7302737,29864780,1,676,9326,50020,145420,9.3161,9.3593,9.3596,9.3553,9.3365,9.3447,9.3316,9.3398,1221.92,1221.42,,,,,
grft-LogReg-Adult-race-1200-2,Adult,LogReg,race,grft,2,8033225,27335670,1,751,9618,53180,158948,9.536,9.3834,9.4914,9.438,9.413,9.4076,9.4085,9.4384,1229.91,1229.3,,,,,
grft-LogReg-Adult-race-1200-3,Adult,LogReg,race,grft,3,7422619,30172312,1,603,8180,42774,125472,9.5732,9.53,9.4575,9.4864,9.4325,9.4292,9.4498,9.4372,1222.89,1222.36,,,,,
grft-LogReg-Adult-race-1200-4,Adult,LogReg,race,grft,4,7317781,27669382,1,605,8190,46879,130724,9.5935,9.4519,9.4891,9.5022,9.482,9.4794,9.4599,9.4696,1229.52,1228.98,,,,,
limi-LogReg-Adult-race-1200-0,Adult,LogReg,race,limi,0,19407,422141,1,106,397,906,1375,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,471.92,,,,,,
limi-LogReg-Adult-race-1200-1,Adult,LogReg,race,limi,1,19407,422141,1,106,397,906,1375,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,466.02,,,,,,
limi-LogReg-Adult-race-1200-2,Adult,LogReg,race,limi,2,19407,422141,1,106,397,906,1375,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,462.13,,,,,,
limi-LogReg-Adult-race-1200-3,Adult,LogReg,race,limi,3,19407,422141,1,106,397,906,1375,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,477.66,,,,,,
limi-LogReg-Adult-race-1200-4,Adult,LogReg,race,limi,4,19407,422141,1,106,397,906,1375,6.4718,6.2612,6.2403,6.3783,6.3513,6.3265,6.324,6.3287,456.12,,,,,,
sg-LogReg-Adult-race-1200-0,Adult,LogReg,race,sg,0,599,7426,1,42,120,197,241,7.5269,7.43,7.4099,7.4387,7.4409,7.4409,7.4409,7.4409,1200.02,1200.01,,,,,
